TÃªn chiáº¿n dá»ch,TÃªn quáº£ng cÃ¡o,NgÃ y,Sá» tiá»n ÄÃ£ chi tiÃªu (VND),LÆ°á»£t báº¯t Äáº§u cuá»c trÃ² chuyá»n qua tin nháº¯n,NgÆ°á»i tiáº¿p cáº­n,LÆ°á»£t hiá»n thá»,Táº§n suáº¥t,LÆ°á»£t click vÃ o áº£nh,LÆ°á»£t phÃ¡t video trong tá»i thiá»u 3 giÃ¢y,ThruPlay,LÆ°á»£t bÃ y tá» cáº£m xÃºc vá» bÃ i viáº¿t,BÃ¬nh luáº­n vá» bÃ i viáº¿t,LÆ°á»£t chia sáº» bÃ i viáº¿t,LÆ°á»£t lÆ°u bÃ i viáº¿t,LÆ°á»£t thÃ­ch trÃªn Facebook,LÆ°á»£t click vÃ o liÃªn káº¿t,LÆ°á»£t báº¯t Äáº§u bÃ¡o cÃ¡o,LÆ°á»£t káº¿t thÃºc bÃ¡o cÃ¡o
S03 - MD x BKC - Message,Qrevo Edge 2 - 260415 - 937361299040111,2026-04-15,2193,,11,12,"1,09090909",,1,,,,,,,,2026-04-15,2026-04-15
S03 - MD x BKC - Message,Qrevo Edge 2 - 260415 - 936607649115476,2026-04-15,20141,,84,98,"1,16666667",,32,10,1,,,,,1,2026-04-15,2026-04-15
S03 - MD x BKC - Message,Qrevo C Pro - 260415 - 934326526010255,2026-04-15,10913,1,49,55,"1,12244898",,27,4,,,,,,1,2026-04-15,2026-04-15
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo 5V1 - 260415 - 122131573551138166,2026-04-15,16647,,70,94,"1,34285714",,38,10,1,,,1,,,2026-04-15,2026-04-15
S03 - MD x BKC - Message,Qrevo C Pro - 260415  - 937428099033431,2026-04-15,4230,,16,16,1,,3,,,,,,,,2026-04-15,2026-04-15
S03 - PD x MiSmart - Message,Qrevo S Pro - 260414 - 122270496428062219,2026-04-15,13697,,85,104,"1,22352941",,24,4,,,,,,,2026-04-15,2026-04-15
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260414 - 122270663480062219,2026-04-15,491,,5,5,1,,2,,,,,,,,2026-04-15,2026-04-15
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260414 - 122270464958062219,2026-04-15,4565,,23,27,"1,17391304",,8,4,,,,1,,,2026-04-15,2026-04-15
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo  5V1 - 260414 - 1429648932511955,2026-04-15,4536,,67,81,"1,20895522",,17,4,,,,,,1,2026-04-15,2026-04-15
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260415 - 1429582245851957,2026-04-15,10758,,170,227,"1,33529412",,33,15,,,,,,,2026-04-15,2026-04-15
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo  S Pro - 260410 - 1426479366162245,2026-04-15,7045,,149,213,"1,4295302",,40,6,,,,,,1,2026-04-15,2026-04-15
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo  S Pro - 260410 - 1430537229089792,2026-04-15,2544,,23,29,"1,26086957",,4,,,,,,,,2026-04-15,2026-04-15
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260415 - 122131457595138166,2026-04-15,18912,,89,98,"1,1011236",,41,7,,,,,,,2026-04-15,2026-04-15
S03 - PD x MiSmart - Message,Qrevo C Pro - 260414  - 122270673140062219,2026-04-15,6108,,37,46,"1,24324324",,17,3,,,,,,1,2026-04-15,2026-04-15
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260415 - 1387361766742494,2026-04-15,8687,,38,44,"1,15789474",,11,3,,,,,,,2026-04-15,2026-04-15
S03 - PD x KhÃ¡nh Vy Home - Message,Event - 260410 - 122131078071138166,2026-04-15,97763,6,695,899,"1,29352518",,207,47,4,1,,,2,13,2026-04-15,2026-04-15
S03 - PD x AKIA - Message,F25 Ultra - 260415 - 1387432330068771,2026-04-15,14028,1,73,104,"1,42465753",,26,4,1,,,1,,,2026-04-15,2026-04-15
S03 - MD x BKC - Message,Event - 260409 - 933326816110226,2026-04-15,121,,1,1,1,,,,,,,,,,2026-04-15,2026-04-15
S03 - PD x ÄM VÄn KhÃ­ch - Message,Event - 260409 - 1426342182842630,2026-04-15,8824,,123,158,"1,28455285",,,,,,,,,,2026-04-15,2026-04-15
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377415874403750,2026-04-15,5643,,36,36,1,,14,4,,,,,,,2026-04-15,2026-04-15
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-04-15,868,,5,7,"1,4",,3,2,,,,,,,2026-04-15,2026-04-15
S03 - MD x BKC - Message,F25 Ultra - 260410 - 933713546071553,2026-04-15,7173,1,52,56,"1,07692308",,31,10,,,,,,,2026-04-15,2026-04-15
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo  S Pro - 260410 - 1426479366162245,2026-04-15,30777,,389,509,"1,30848329",,118,26,2,,,,,,2026-04-15,2026-04-15
S03 - MD x BKC - Message,Qrevo Edge 5V1 - 260410 - 933659102743664,2026-04-15,168,,1,1,1,,1,1,,,,,,,2026-04-15,2026-04-15
S03 - MD x BKC - Message,Event - 260410 - 934098906033017,2026-04-15,98685,3,625,720,"1,152",,207,55,2,,,,,5,2026-04-15,2026-04-15
S03 - PD x ÄM VÄn KhÃ­ch - Message,Event - 260410 - 1426968496113332,2026-04-15,64518,1,823,1770,"2,15066829",7,,,3,,,,1,2,2026-04-15,2026-04-15
S03 - PD x AKIA - Message,Event - 260413 - 1384172763728061,2026-04-15,81165,4,542,730,"1,34686347",,154,36,1,,,1,,2,2026-04-15,2026-04-15
S03 - PD x AKIA - Message,F25 Ultra - 260413 - 1384185857060085,2026-04-15,0,1,0,0,0,,,,,,,,,,2026-04-15,2026-04-15
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260414 - 1386546643490673,2026-04-15,159,,2,2,1,,,,,,,,,,2026-04-15,2026-04-15
S03 - PD x AKIA - Message,Qrevo 5AE - 260414 - 1386626556816015,2026-04-15,29208,,105,124,"1,18095238",,48,11,1,,,,,,2026-04-15,2026-04-15
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260414 - 122131434207138166,2026-04-15,199,,2,2,1,,1,,,,,,,,2026-04-15,2026-04-15
S03 - PD x MiSmart - Message,Event - 260410 - 122269977824062219,2026-04-15,100166,3,817,1116,"1,36597307",,270,72,3,1,,,,14,2026-04-15,2026-04-15
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo 5V1 - 260414 - 122131444689138166,2026-04-15,1223,,9,12,"1,33333333",,5,1,,,,,,,2026-04-15,2026-04-15
S03 - MD x BKC - Message,Qrevo Edge 5V1 - 260404 - 928038273305747,2026-04-14,28015,6,179,211,"1,17877095",,54,18,1,,,,,8,2026-04-14,2026-04-14
S03 - PD x MiSmart - Message,Qrevo S Pro - 260404 - 122268772592062219,2026-04-14,381,,5,5,1,,2,,,,,,,,2026-04-14,2026-04-14
S03 - PD x MiSmart - Message,Qrevo S Pro - 260404 - 122268779936062219,2026-04-14,11332,,63,72,"1,14285714",,17,9,1,,,,,2,2026-04-14,2026-04-14
S03 - PD x MiSmart - Message,Qrevo S Pro - 260404 - 122268754352062219,2026-04-14,22865,,214,244,"1,14018692",,66,8,,,,,,3,2026-04-14,2026-04-14
S03 - MD x BKC - Message,Qrevo Edge 5V1 - 260404 - 928047443304830,2026-04-14,6653,,49,56,"1,14285714",,17,4,,,,,,,2026-04-14,2026-04-14
S03 - MD x BKC - Message,F25 Ultra - 260406 - 927550426687865,2026-04-14,13785,,37,47,"1,27027027",,21,5,,,,1,,2,2026-04-14,2026-04-14
S03 - MD x BKC - Message,Qrevo 5AE - 260404 - 929868256456082,2026-04-14,34901,,204,226,"1,10784314",,81,24,2,,,,,5,2026-04-14,2026-04-14
S03 - MD x BKC - Message,Qrevo C Pro - 260404 - 929070199869221,2026-04-14,36732,2,244,266,"1,09016393",,149,46,1,,,,,3,2026-04-14,2026-04-14
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129237211138166,2026-04-14,10252,1,43,50,"1,1627907",,11,7,,,,,,1,2026-04-14,2026-04-14
S03 - PD x AKIA - Message,Qrevo 5AE - 260404 - 1378562857622385,2026-04-14,31084,2,202,214,"1,05940594",,47,10,,,,,,3,2026-04-14,2026-04-14
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268362954062219,2026-04-14,2264,,37,38,"1,02702703",,10,,,,,,,,2026-04-14,2026-04-14
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo 5V1 - 260404 - 122129462499138166,2026-04-14,35972,2,224,249,"1,11160714",,82,35,1,,,,,6,2026-04-14,2026-04-14
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260328 - 122267735834062219,2026-04-14,27660,,172,210,"1,22093023",,56,17,2,,,,,6,2026-04-14,2026-04-14
S03 - MD x BKC - Message,F25 Ultra - 260403 - 928046746638233,2026-04-14,1417,,8,8,1,,6,3,,,,,,,2026-04-14,2026-04-14
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129465883138166,2026-04-14,2026,,12,12,1,,6,1,,,,,,,2026-04-14,2026-04-14
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377529494392388,2026-04-14,24611,,152,180,"1,18421053",,44,16,,,,1,,2,2026-04-14,2026-04-14
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260402 - 1376808357797835,2026-04-14,5180,,23,28,"1,2173913",,8,5,,,,,,,2026-04-14,2026-04-14
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129097111138166,2026-04-14,13946,1,105,115,"1,0952381",,26,8,,,,,,2,2026-04-14,2026-04-14
S03 - MD x BKC - Message,Qrevo Edge 2 - 260330 - 923469843762590,2026-04-14,14442,,57,68,"1,19298246",,18,6,,,,,,1,2026-04-14,2026-04-14
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260327 - 122267988968062219,2026-04-14,489,,3,3,1,,2,1,,,,,,,2026-04-14,2026-04-14
S03 - MD x BKC - Message,Qrevo Edge 2 - 260330 - 924960240280217,2026-04-14,13057,,40,51,"1,275",,18,8,,,,,,,2026-04-14,2026-04-14
S03 - MD x BKC - Message,Qrevo Edge 2 - 260330 - 923463907096517,2026-04-14,1609,,12,13,"1,08333333",,4,2,,,,,,,2026-04-14,2026-04-14
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260328 - 122267740838062219,2026-04-14,2938,,22,24,"1,09090909",,10,5,,,,,,,2026-04-14,2026-04-14
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260327 - 1415354603941388,2026-04-14,4168,1,94,100,"1,06382979",,28,13,,,,,,,2026-04-14,2026-04-14
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377389881073016,2026-04-14,7184,2,30,34,"1,13333333",,18,6,,,,,,2,2026-04-14,2026-04-14
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260406 - 1418641046946077,2026-04-14,28733,1,390,524,"1,34358974",,146,33,1,,,,,1,2026-04-14,2026-04-14
S03 - PD x ÄM VÄn KhÃ­ch - Message,Event - 260408 - 1423871606423021,2026-04-14,753,,36,40,"1,11111111",,,,,,,,,,2026-04-14,2026-04-14
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo  5V1 - 260404 - 1421426940000821,2026-04-14,870,,13,13,1,,5,1,,,,,,,2026-04-14,2026-04-14
S03 - MD x BKC - Message,F25 Ultra - 260410 - 933713546071553,2026-04-14,21695,3,133,142,"1,06766917",,84,26,,,,,,2,2026-04-14,2026-04-14
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo  5V1 - 260404 - 1420356186774563,2026-04-14,29702,4,424,526,"1,24056604",,104,44,2,2,,,,6,2026-04-14,2026-04-14
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo 5V1 - 260414 - 122131444689138166,2026-04-14,3270,,13,19,"1,46153846",,7,3,,,,,,,2026-04-14,2026-04-14
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260414 - 122131434207138166,2026-04-14,5733,,34,39,"1,14705882",,15,9,,,,,,,2026-04-14,2026-04-14
S03 - PD x AKIA - Message,Qrevo 5AE - 260414 - 1386626556816015,2026-04-14,4445,,28,30,"1,07142857",,10,3,,,,,,,2026-04-14,2026-04-14
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260414 - 1386546643490673,2026-04-14,5688,,29,32,"1,10344828",,12,10,,,1,,,,2026-04-14,2026-04-14
S03 - PD x AKIA - Message,F25 Ultra - 260413 - 1384185857060085,2026-04-14,13049,,46,48,"1,04347826",,28,8,,,,,,2,2026-04-14,2026-04-14
S03 - PD x AKIA - Message,Event - 260413 - 1384172763728061,2026-04-14,101791,3,646,837,"1,29566563",,228,58,,,,,,4,2026-04-14,2026-04-14
S03 - PD x MiSmart - Message,Event - 260410 - 122269977824062219,2026-04-14,112363,2,1240,1675,"1,35080645",,348,99,5,,,,1,24,2026-04-14,2026-04-14
S03 - MD x BKC - Message,Event - 260410 - 934098906033017,2026-04-14,103556,5,660,772,"1,16969697",,217,56,2,,,,,10,2026-04-14,2026-04-14
S03 - PD x KhÃ¡nh Vy Home - Message,Event - 260410 - 122131078071138166,2026-04-14,84690,4,621,805,"1,2962963",,181,45,3,,1,,,11,2026-04-14,2026-04-14
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo  S Pro - 260410 - 1426479366162245,2026-04-14,31255,1,585,743,"1,27008547",,174,38,1,,,,,2,2026-04-14,2026-04-14
S03 - PD x ÄM VÄn KhÃ­ch - Message,Event - 260410 - 1426968496113332,2026-04-14,52430,1,840,1861,"2,21547619",4,,,,,,,,,2026-04-14,2026-04-14
S03 - MD x BKC - Message,Qrevo Edge 2 - 260410 - 933622292747345,2026-04-14,4811,,12,12,1,,7,,,,,,,,2026-04-14,2026-04-14
S03 - PD x AKIA - Message,Event - 260408 - 1380999710712033,2026-04-14,6047,,45,56,"1,24444444",,,,,,,,,,2026-04-14,2026-04-14
S03 - PD x AKIA - Message,Qrevo 5AE - 260410 - 1383497740462230,2026-04-14,8835,,36,38,"1,05555556",,15,1,,,,,,,2026-04-14,2026-04-14
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377415874403750,2026-04-14,17837,1,69,82,"1,1884058",,36,15,,1,,,,1,2026-04-14,2026-04-14
S03 - PD x ÄM VÄn KhÃ­ch - Message,Event - 260409 - 1426342182842630,2026-04-14,6822,,147,199,"1,3537415",1,,,,,,,,,2026-04-14,2026-04-14
S03 - PD x MiSmart - Message,Event - 260409 - 122269826900062219,2026-04-14,2438,,22,29,"1,31818182",,,,,,,,,,2026-04-14,2026-04-14
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260408 - 122130438081138166,2026-04-14,2630,,13,15,"1,15384615",,2,1,,,,,,1,2026-04-14,2026-04-14
S03 - PD x ÄM VÄn KhÃ­ch - Message,Event - 260408 - 1423851099758405,2026-04-14,34036,,733,1111,"1,51568895",,,,1,,,,,,2026-04-14,2026-04-14
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo  5V1 - 260408 - 1424797982997050,2026-04-14,539,,14,14,1,,7,1,,,,,,,2026-04-14,2026-04-14
S03 - PD x MiSmart - Message,Qrevo C Pro - 260408 - 122269481078062219,2026-04-14,35641,3,290,353,"1,21724138",,88,38,1,,,,1,5,2026-04-14,2026-04-14
S03 - MD x BKC - Message,Qrevo Edge 5V1 - 260408 - 932203472889227,2026-04-14,3540,,14,16,"1,14285714",,2,,,,,,,1,2026-04-14,2026-04-14
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-04-14,29673,3,259,284,"1,0965251",,149,49,1,,,,,5,2026-04-14,2026-04-14
S03 - MD x BKC - Message,Qrevo Edge 5V1 - 260404 - 928038273305747,2026-04-13,13457,1,98,107,"1,09183673",,33,12,,,,,,1,2026-04-13,2026-04-13
S03 - PD x MiSmart - Message,Qrevo S Pro - 260404 - 122268754352062219,2026-04-13,24843,1,110,135,"1,22727273",,34,7,,,,,,2,2026-04-13,2026-04-13
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo 5V1 - 260404 - 122129624955138166,2026-04-13,10506,1,52,62,"1,19230769",,24,9,1,1,,,,1,2026-04-13,2026-04-13
S03 - MD x BKC - Message,Qrevo C Pro - 260404 - 929070199869221,2026-04-13,32989,2,146,171,"1,17123288",,100,31,,,,,,6,2026-04-13,2026-04-13
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo 5V1 - 260404 - 122129465715138166,2026-04-13,3307,,17,19,"1,11764706",,8,1,,,,,,,2026-04-13,2026-04-13
S03 - MD x BKC - Message,Qrevo 5AE - 260404 - 929868256456082,2026-04-13,36513,5,227,266,"1,17180617",,107,28,,1,,,,7,2026-04-13,2026-04-13
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260406 - 1418641046946077,2026-04-13,26710,2,571,720,"1,26094571",,203,60,2,,1,,1,1,2026-04-13,2026-04-13
S03 - PD x MiSmart - Message,Qrevo C Pro - 260406 - 122268977960062219,2026-04-13,17246,,48,61,"1,27083333",,24,6,,,,,,,2026-04-13,2026-04-13
S03 - MD x BKC - Message,Qrevo C Pro - 260404 - 929894273120147,2026-04-13,1743,,13,13,1,,4,,,,,,,,2026-04-13,2026-04-13
S03 - MD x BKC - Message,Qrevo Edge 5V1 - 260406 - 928664543243120,2026-04-13,8503,,31,36,"1,16129032",,16,3,,,,,,,2026-04-13,2026-04-13
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268362954062219,2026-04-13,8663,,73,87,"1,19178082",,19,8,,,,,,1,2026-04-13,2026-04-13
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo  5V1 - 260404 - 1421426940000821,2026-04-13,4055,,114,123,"1,07894737",,26,6,1,,,,,1,2026-04-13,2026-04-13
S03 - MD x BKC - Message,F25 Ultra - 260403 - 928090599967181,2026-04-13,127,,1,1,1,,1,1,,,,,,,2026-04-13,2026-04-13
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo 5V1 - 260404 - 122129462499138166,2026-04-13,14824,1,80,88,"1,1",,26,13,,1,,,,1,2026-04-13,2026-04-13
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260327 - 122267454194062219,2026-04-13,1109,,2,4,2,,1,1,,,,,,,2026-04-13,2026-04-13
S03 - MD x BKC - Message,F25 Ultra - 260403 - 928046746638233,2026-04-13,16688,,42,54,"1,28571429",,23,8,,,,1,,3,2026-04-13,2026-04-13
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129460603138166,2026-04-13,1018,,8,8,1,,2,,,,,,,,2026-04-13,2026-04-13
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129482053138166,2026-04-13,848,,7,7,1,,5,2,,,,,,,2026-04-13,2026-04-13
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377555224389815,2026-04-13,14562,,70,73,"1,04285714",,36,15,,,,,,1,2026-04-13,2026-04-13
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129001555138166,2026-04-13,67,,2,2,1,,1,,,,,,,,2026-04-13,2026-04-13
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129102625138166,2026-04-13,458,,5,5,1,,3,,,,,,,,2026-04-13,2026-04-13
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129097111138166,2026-04-13,38294,3,215,234,"1,08837209",,78,29,,,,,,4,2026-04-13,2026-04-13
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260327 - 122267984456062219,2026-04-13,12758,,57,67,"1,1754386",,20,3,,,,,,,2026-04-13,2026-04-13
S03 - MD x BKC - Message,Qrevo Edge 2 - 260330 - 923469843762590,2026-04-13,25704,,105,129,"1,22857143",,42,14,,,,,,2,2026-04-13,2026-04-13
S03 - MD x BKC - Message,Qrevo Edge 2 - 26033 - 925607946882113,2026-04-13,774,,5,5,1,,4,1,,,,,,,2026-04-13,2026-04-13
S03 - MD x BKC - Message,Qrevo Edge 2 - 260330 - 923463907096517,2026-04-13,4826,,19,19,1,,10,1,,,,,,,2026-04-13,2026-04-13
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260328 - 1416292407180941,2026-04-13,3495,,72,72,1,,17,6,,,,,,,2026-04-13,2026-04-13
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260327 - 122267451116062219,2026-04-13,7503,,34,42,"1,23529412",,14,3,,,,,,,2026-04-13,2026-04-13
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo  5V1 - 260404 - 1420356186774563,2026-04-13,28964,2,587,695,"1,18398637",,138,46,,1,,,,3,2026-04-13,2026-04-13
S03 - PD x MiSmart - Message,Qrevo S Pro - 260406 - 122268782036062219,2026-04-13,4210,,16,19,"1,1875",,8,1,,,,,,1,2026-04-13,2026-04-13
S03 - MD x BKC - Message,Event - 260413 - 934289092680665,2026-04-13,12087,,52,59,"1,13461538",,13,1,,,,,,,2026-04-13,2026-04-13
S03 - PD x AKIA - Message,F25 Ultra - 260408 - 1381932690618735,2026-04-13,2242,,13,14,"1,07692308",,5,2,,,,,,,2026-04-13,2026-04-13
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260410 - 122269843190062219,2026-04-13,455,,6,6,1,,2,,,,,,,,2026-04-13,2026-04-13
S03 - PD x AKIA - Message,Event - 260408 - 1380999710712033,2026-04-13,9882,,53,57,"1,0754717",,,,,,,,,1,2026-04-13,2026-04-13
S03 - PD x AKIA - Message,F25 Ultra - 260413 - 1384185857060085,2026-04-13,17272,,97,107,"1,10309278",,59,13,,,,,,2,2026-04-13,2026-04-13
S03 - PD x AKIA - Message,Event - 260413 - 1384172763728061,2026-04-13,122288,1,660,885,"1,34090909",,218,56,2,,,,2,1,2026-04-13,2026-04-13
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260410 - 1383459980466006,2026-04-13,2543,,16,17,"1,0625",,5,,,,,,,,2026-04-13,2026-04-13
S03 - PD x ÄM VÄn KhÃ­ch - Message,Event - 260410 - 1426968496113332,2026-04-13,47727,,825,1677,"2,03272727",4,,,2,,,,,2,2026-04-13,2026-04-13
S03 - PD x MiSmart - Message,Event - 260410 - 122269977824062219,2026-04-13,101485,2,1253,1830,"1,46049481",,390,113,7,1,,,,23,2026-04-13,2026-04-13
S03 - MD x BKC - Message,Event - 260410 - 934098906033017,2026-04-13,78133,1,402,493,"1,22636816",,147,37,1,,,,,8,2026-04-13,2026-04-13
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo  S Pro - 260410 - 1426479366162245,2026-04-13,9536,,191,220,"1,15183246",,52,14,,,,,,1,2026-04-13,2026-04-13
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo  5V1 - 260410 - 1426421506168031,2026-04-13,959,,6,7,"1,16666667",,,,,,,,,,2026-04-13,2026-04-13
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260410 - 1426385486171633,2026-04-13,431,,11,11,1,,,,,,,,,,2026-04-13,2026-04-13
S03 - PD x MiSmart - Message,Qrevo S Pro - 260410 - 122269856330062219,2026-04-13,120,,3,3,1,,2,,,,,,,,2026-04-13,2026-04-13
S03 - PD x MiSmart - Message,Qrevo C Pro - 260410 - 122269847480062219,2026-04-13,59,,2,2,1,,1,,,,,,,,2026-04-13,2026-04-13
S03 - PD x KhÃ¡nh Vy Home - Message,Event - 260410 - 122131078071138166,2026-04-13,124570,3,656,920,"1,40243902",,242,64,,1,2,,,16,2026-04-13,2026-04-13
S03 - MD x BKC - Message,F25 Ultra - 260410 - 933713546071553,2026-04-13,19324,3,137,141,"1,02919708",,72,29,2,,1,,,3,2026-04-13,2026-04-13
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260408 - 122130438081138166,2026-04-13,80,,1,1,1,,,,,,,,,,2026-04-13,2026-04-13
S03 - MD x BKC - Message,Qrevo Edge 5V1 - 260408 - 932203472889227,2026-04-13,10893,1,45,52,"1,15555556",,18,6,,,,,,3,2026-04-13,2026-04-13
S03 - MD x BKC - Message,Qrevo Edge 2 - 260410 - 933622292747345,2026-04-13,1857,,20,20,1,,6,2,,,,,,,2026-04-13,2026-04-13
S03 - PD x MiSmart - Message,Qrevo C Pro - 260408 - 122269481078062219,2026-04-13,23871,1,188,226,"1,20212766",,77,31,,,,,,5,2026-04-13,2026-04-13
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260408 - 1424752173001631,2026-04-13,409,,3,4,"1,33333333",,1,,,,,,,,2026-04-13,2026-04-13
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo  S Pro - 260408 - 1425325422944306,2026-04-13,13868,,114,150,"1,31578947",,27,8,1,,,,,,2026-04-13,2026-04-13
S03 - PD x ÄM VÄn KhÃ­ch - Message,Event - 260408 - 1423851099758405,2026-04-13,37730,2,1036,1426,"1,37644788",,,,2,,,,,2,2026-04-13,2026-04-13
S03 - PD x AKIA - Message,Event - 260409 - 1383158547162816,2026-04-13,24774,1,169,200,"1,18343195",,,,,,,,,,2026-04-13,2026-04-13
S03 - PD x ÄM VÄn KhÃ­ch - Message,Event - 260409 - 1426342182842630,2026-04-13,9107,,203,324,"1,59605911",1,,,,,,,,,2026-04-13,2026-04-13
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377415874403750,2026-04-13,41297,5,224,275,"1,22767857",,106,35,1,,1,,,4,2026-04-13,2026-04-13
S03 - PD x AKIA - Message,Qrevo 5AE - 260410 - 1383497740462230,2026-04-13,44205,,223,252,"1,13004484",,91,11,1,,,,,1,2026-04-13,2026-04-13
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260410 - 122130993315138166,2026-04-13,91,,2,2,1,,1,,,,,,,,2026-04-13,2026-04-13
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-04-13,26754,3,172,188,"1,09302326",,112,36,,1,,,,6,2026-04-13,2026-04-13
S03 - PD x MiSmart - Message,Qrevo S Pro - 260404 - 122268779936062219,2026-04-12,2063,,10,10,1,,3,2,1,,,,,2,2026-04-12,2026-04-12
S03 - MD x BKC - Message,Qrevo Edge 5V1 - 260406 - 928664543243120,2026-04-12,7134,,37,38,"1,02702703",,11,2,,,,,,,2026-04-12,2026-04-12
S03 - MD x BKC - Message,Qrevo Edge 5V1 - 260404 - 928038273305747,2026-04-12,23624,2,176,185,"1,05113636",,62,25,,,,,,4,2026-04-12,2026-04-12
S03 - MD x BKC - Message,Qrevo 5AE - 260404 - 929868256456082,2026-04-12,36841,4,234,267,"1,14102564",,112,38,1,,,,,11,2026-04-12,2026-04-12
S03 - MD x BKC - Message,Qrevo C Pro - 260404 - 929070199869221,2026-04-12,35428,1,165,183,"1,10909091",,101,37,,,,,,7,2026-04-12,2026-04-12
S03 - PD x MiSmart - Message,Qrevo S Pro - 260404 - 122268759452062219,2026-04-12,276,,1,2,2,,1,,,,,,,,2026-04-12,2026-04-12
S03 - MD x BKC - Message,Qrevo Edge 5V1 - 260406 - 928701249906116,2026-04-12,3331,,6,7,"1,16666667",,3,2,,1,,,,2,2026-04-12,2026-04-12
